EXPALL2013,COUNTRY,SCHEDULE
1410116220,Afghanistan,5310
74364825,Albania,4810
1848703921,Algeria,7210
5796907,Andorra,4271
1443395524,Angola,7620
31037512,Anguilla,2481
145103078,Antigua and Barbuda,2484
10351132910,Argentina,3570
91221471,Armenia,4631
1099787667,Aruba,2779
26123737344,Australia,6021
3519942333,Austria,4330
380998744,Azerbaijan,4632
3447977493,Bahamas,2360
1026301420,Bahrain,5250
708777580,Bangladesh,5380
453339832,Barbados,2720
95141886,Belarus,4622
31840185737,Belgium,4231
240629948,Belize,2080
605242564,Benin,7610
537422110,Bermuda,2320
2351165,Bhutan,5682
1051415463,Bolivia,3350
38481079,Bosnia and Herzegovina,4793
82090829,Botswana,7930
44105506964,Brazil,3510
762058,British Indian Ocean Territories,7810
312726797,British Virgin Islands,2482
558297839,Brunei,5610
307323074,Bulgaria,4870
78571883,Burkina Faso,7600
145830603,Burma,5460
16711425,Burundi,7670
9134281,Cabo Verde,7643
241220345,Cambodia,5550
335737087,Cameroon,7420
300754868974,Canada,1220
680366150,Cayman Islands,2440
4103350,Central African Republic,7540
41460707,Chad,7560
17515894876,Chile,3370
121746188637,China,5700
466894,Christmas Island,6024
22169095,Cocos (Keeling) Islands,6023
18371032417,Colombia,3010
3491014,Comoros,7890
222397877,Congo (Brazzaville),7630
169825711,Congo (Kinshasa),7660
4869141,Cook Islands,6142
7223384099,Costa Rica,2230
167433243,Cote d'Ivoire,7480
308852551,Croatia,4791
359609641,Cuba,2390
687514148,Curacao,2777
143223588,Cyprus,4910
1943358124,Czech Republic,4351
2231067390,Denmark,4099
164483264,Djibouti,7770
77679144,Dominica,2486
7158187556,Dominican Republic,2470
7678971679,Ecuador,3310
5175215624,Egypt,7290
3250238283,El Salvador,2110
756139906,Equatorial Guinea,7380
13476312,Eritrea,7741
293183114,Estonia,4470
22681861,Eswatini,7950
688507736,Ethiopia,7749
1241492,Falkland Islands (Islas Malvinas),3720
2453563,Faroe Islands,4091
66885504,Fiji,6863
2349052218,Finland,4050
31743718451,France,4279
631200449,French Guiana,3170
126189637,French Polynesia,6414
1749592,French Southern and Antarctic Lands,7905
307983525,Gabon,7550
34135359,Gambia,7500
178138,Gaza Strip Administered by Israel,5082
601244307,Georgia,4633
47363465586,Germany,4280
981388029,Ghana,7490
3576397600,Gibraltar,4720
739038829,Greece,4840
19148034,Greenland,1010
95251167,Grenada,2489
642437801,Guadeloupe,2831
5554588951,Guatemala,2050
79462980,Guinea,7460
6643733,Guinea-Bissau,7642
318863043,Guyana,3120
1227113799,Haiti,2450
504268,Heard and McDonald Islands,6029
5420255599,Honduras,2150
42332232943,Hong Kong,5820
1726956134,Hungary,4370
513396894,Iceland,4000
21810447551,India,5330
9106545145,Indonesia,5600
308142294,Iran,5070
