EXPALL2014,COUNTRY,SCHEDULE
812720949,Afghanistan,5310
51256821,Albania,4810
2616922429,Algeria,7210
3789433,Andorra,4271
2039267110,Angola,7620
58385175,Anguilla,2481
216602773,Antigua and Barbuda,2484
10822941337,Argentina,3570
60410659,Armenia,4631
1300152489,Aruba,2779
26681740360,Australia,6021
3824796663,Austria,4330
950256109,Azerbaijan,4632
3321494154,Bahamas,2360
1060074551,Bahrain,5250
1113229387,Bangladesh,5380
539925837,Barbados,2720
93385923,Belarus,4622
34736299812,Belgium,4231
236680434,Belize,2080
780867876,Benin,7610
646715539,Bermuda,2320
2422028,Bhutan,5682
1008600641,Bolivia,3350
46080139,Bosnia and Herzegovina,4793
52861554,Botswana,7930
42431727466,Brazil,3510
2099098,British Indian Ocean Territories,7810
387827784,British Virgin Islands,2482
549210120,Brunei,5610
358890290,Bulgaria,4870
73991538,Burkina Faso,7600
92856414,Burma,5460
5569408,Burundi,7670
7283602,Cabo Verde,7643
328091257,Cambodia,5550
301072860,Cameroon,7420
312816950458,Canada,1220
814123446,Cayman Islands,2440
32322366,Central African Republic,7540
66491850,Chad,7560
16541390489,Chile,3370
123657203406,China,5700
168931,Christmas Island,6024
6040796,Cocos (Keeling) Islands,6023
20066601912,Colombia,3010
3452794,Comoros,7890
321645703,Congo (Brazzaville),7630
181865401,Congo (Kinshasa),7660
5325025,Cook Islands,6142
6946684851,Costa Rica,2230
239077767,Cote d'Ivoire,7480
339595076,Croatia,4791
299064037,Cuba,2390
611598106,Curacao,2777
151624371,Cyprus,4910
2302565213,Czech Republic,4351
2360633497,Denmark,4099
110910147,Djibouti,7770
64186171,Dominica,2486
7928084046,Dominican Republic,2470
8253758695,Ecuador,3310
6483088214,Egypt,7290
3305789664,El Salvador,2110
574773691,Equatorial Guinea,7380
5327596,Eritrea,7741
308546003,Estonia,4470
25679849,Eswatini,7950
1668912927,Ethiopia,7749
7845600,Falkland Islands (Islas Malvinas),3720
2470184,Faroe Islands,4091
79501650,Fiji,6863
2150208015,Finland,4050
31289479114,France,4279
281020776,French Guiana,3170
129553300,French Polynesia,6414
8251616,French Southern and Antarctic Lands,7905
417347288,Gabon,7550
41538614,Gambia,7500
169040,Gaza Strip Administered by Israel,5082
627551843,Georgia,4633
49418841185,Germany,4280
1186287465,Ghana,7490
2530894164,Gibraltar,4720
773336519,Greece,4840
12692465,Greenland,1010
84018256,Grenada,2489
